key;ministeerium_en
Majandus- ja Kommunikatsiooniministeerium;Ministry of Economic Affairs and Communications
Sotsiaalministeerium;Ministry of Social Affairs
Haridus- ja Teadusministeerium;Ministry of Education and Research
Rahandusministeerium;Ministry of Finance
Keskkonnaministeerium;Ministry of the Environment
Kultuuriministeerium;Ministry of Culture
Maaeluministeerium;Ministry of Rural Affairs
Justiitsministeerium;Ministry of Justice
Välisministeerium;Ministry of Foreign Affairs
Siseministeerium;Ministry of the Interior
Riigikantselei;Government Office
Kaitseministeerium;Ministry of Defence
